### boot_firmware_filtered
### su -c 'ls -l /dev/block/by-name | grep -Ei 'abl|bl1|pbl|bl2|dram|bl31|tzsw|gsa|gsa_bl1|ldfw|dpm|gcf|pvmfw|boot|vendor_boot|vendor_kernel_boot|init_boot|dtbo|vbmeta|devinfo|misc|blenv''

lrwxrwxrwx 1 root root 15 2026-05-11 00:22 abl_a -> /dev/block/sdb5
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 abl_b -> /dev/block/sdc5
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 bl1_a -> /dev/block/sdb1
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 bl1_b -> /dev/block/sdc1
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 bl2_a -> /dev/block/sdb3
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 bl2_b -> /dev/block/sdc3
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 bl31_a -> /dev/block/sdb6
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 bl31_b -> /dev/block/sdc6
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 blenv -> /dev/block/sdd3
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 boot_a -> /dev/block/sda13
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 boot_b -> /dev/block/sda23
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 devinfo -> /dev/block/sdd1
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 dpm_a -> /dev/block/sdb11
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 dpm_b -> /dev/block/sdc11
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 dram_train_a -> /dev/block/sdb4
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 dram_train_b -> /dev/block/sdc4
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 dtbo_a -> /dev/block/sda17
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 dtbo_b -> /dev/block/sda27
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 gcf_a -> /dev/block/sdb12
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 gcf_b -> /dev/block/sdc12
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 gsa_a -> /dev/block/sdb8
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 gsa_b -> /dev/block/sdc8
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 gsa_bl1_a -> /dev/block/sdb9
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 gsa_bl1_b -> /dev/block/sdc9
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 init_boot_a -> /dev/block/sda14
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 init_boot_b -> /dev/block/sda24
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 ldfw_a -> /dev/block/sdb10
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 ldfw_b -> /dev/block/sdc10
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 misc -> /dev/block/sda3
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 pbl_a -> /dev/block/sdb2
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 pbl_b -> /dev/block/sdc2
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 pvmfw_a -> /dev/block/sda21
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 pvmfw_b -> /dev/block/sda31
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 tzsw_a -> /dev/block/sdb7
lrwxrwxrwx 1 root root 15 2026-05-11 00:22 tzsw_b -> /dev/block/sdc7
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vbmeta_a -> /dev/block/sda18
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vbmeta_b -> /dev/block/sda28
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vbmeta_system_a -> /dev/block/sda19
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vbmeta_system_b -> /dev/block/sda29
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vbmeta_vendor_a -> /dev/block/sda20
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vbmeta_vendor_b -> /dev/block/sda30
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vendor_boot_a -> /dev/block/sda15
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vendor_boot_b -> /dev/block/sda25
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vendor_kernel_boot_a -> /dev/block/sda16
lrwxrwxrwx 1 root root 16 2026-05-11 00:22 vendor_kernel_boot_b -> /dev/block/sda26
