Pin config settings per pin
Format: pin (name): configs
pin 87 (gph0-0):  PUD(0x1) DRV(0x3) CON_PDN(0x3) PUD_PDN(0x0)
pin 88 (gph0-1):  PUD(0x3) DRV(0x3) CON_PDN(0x3) PUD_PDN(0x3)
pin 89 (gph0-2):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 90 (gph0-3):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 91 (gph1-0):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 92 (gph1-1):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 93 (gph1-2):  PUD(0x0) DRV(0x5) CON_PDN(0x3) PUD_PDN(0x0)
pin 94 (gph1-3):  PUD(0x1) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x1)
pin 95 (gph1-4):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 96 (gph1-5):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 97 (gph1-6):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 98 (gph1-7):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 99 (gph2-0):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 100 (gph2-1):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
pin 101 (gph2-2):  PUD(0x1) DRV(0x0) CON_PDN(0x2) PUD_PDN(0x1)
pin 102 (gph2-3):  PUD(0x0) DRV(0x0) CON_PDN(0x3) PUD_PDN(0x0)
