### proc_partitions
### su -c 'cat /proc/partitions'

major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0      36828 loop0
   7        8        836 loop1
   7       16      95676 loop2
   7       24       8504 loop3
   7       32     264500 loop4
   7       40        396 loop5
   7       48       4468 loop6
   7       56      28312 loop7
   7       64       5352 loop8
   7       72      27092 loop9
   7       80       1168 loop10
   7       88      13964 loop11
   7       96        884 loop12
   7      104      16776 loop13
   7      112        268 loop14
   7      120        376 loop15
 253        0    5925324 zram0
   8        0  124784640 sda
   8        1     131072 sda1
   8        2      16384 sda2
   8        3       1024 sda3
   8        4        512 sda4
   8        5      65536 sda5
   8        6      65536 sda6
   8        7      65536 sda7
   8        8      65536 sda8
   8        9     131072 sda9
   8       10      65536 sda10
   8       11       2048 sda11
   8       12       4096 sda12
   8       13      65536 sda13
   8       14       8192 sda14
   8       15      65536 sda15
 259        0      65536 sda16
 259        1      16384 sda17
 259        2         64 sda18
 259        3         64 sda19
 259        4         64 sda20
 259        5       1024 sda21
 259        6     204800 sda22
 259        7      65536 sda23
 259        8       8192 sda24
 259        9      65536 sda25
 259       10      65536 sda26
 259       11      16384 sda27
 259       12         64 sda28
 259       13         64 sda29
 259       14         64 sda30
 259       15       1024 sda31
 259       16     204800 sda32
 259       17    8331264 sda33
 259       18  114985044 sda34
   8       16      32768 sdb
   8       17         16 sdb1
   8       18         80 sdb2
   8       19        540 sdb3
   8       20        100 sdb4
   8       21       4096 sdb5
   8       22        256 sdb6
   8       23      20480 sdb7
   8       24       1024 sdb8
   8       25         96 sdb9
   8       26       4096 sdb10
   8       27         36 sdb11
   8       28        352 sdb12
   8       32      32768 sdc
   8       33         16 sdc1
   8       34         80 sdc2
   8       35        540 sdc3
   8       36        100 sdc4
   8       37       4096 sdc5
   8       38        256 sdc6
   8       39      20480 sdc7
   8       40       1024 sdc8
   8       41         96 sdc9
   8       42       4096 sdc10
   8       43         36 sdc11
   8       44        352 sdc12
   8       48       4096 sdd
   8       49          8 sdd1
   8       50          8 sdd2
   8       51          8 sdd3
   8       52       3280 sdd4
 254        0     898116 dm-0
 254        1      11440 dm-1
 254        2     397232 dm-2
 254        3    4243372 dm-3
 254        4     819184 dm-4
 254        5      25108 dm-5
 254        6      59196 dm-6
 254        7       4304 dm-7
 254        8      21868 dm-8
 254        9      72468 dm-9
 254       10      17180 dm-10
 254       11       4520 dm-11
 254       12     883860 dm-12
 254       13      11176 dm-13
 254       14     390880 dm-14
 254       15    4176332 dm-15
 254       16     806176 dm-16
 254       17      24632 dm-17
   7      128        668 loop16
   7      136       1928 loop17
   7      144        268 loop18
   7      152       4760 loop19
   7      160      21400 loop20
   7      168       7984 loop21
   7      176       4368 loop22
   7      184      22708 loop23
   7      192       5920 loop24
   7      200        836 loop25
   7      208      36828 loop26
   7      216        264 loop27
   7      224      95676 loop28
   7      232      64332 loop29
   7      240        556 loop30
   7      248       7456 loop31
   7      256      30124 loop32
   7      264       6520 loop33
   7      272      30068 loop34
   7      280       7748 loop35
   7      288       8504 loop36
   7      296       3528 loop37
   7      304        268 loop38
   7      312       5576 loop39
   7      320      10196 loop40
   7      328       5400 loop41
   7      336        264 loop42
   7      344       1464 loop43
   7      352       6180 loop44
   7      360       3228 loop45
   7      368      21596 loop46
   7      376      29360 loop47
   7      384      16772 loop48
   7      392      10916 loop49
 254       21      28080 dm-21
 254       22        252 dm-22
 254       23      26868 dm-23
 254       24       1144 dm-24
 254       25        256 dm-25
 254       26      13840 dm-26
 254       27        364 dm-27
 254       28        864 dm-28
 254       30      16628 dm-30
 254       31       1900 dm-31
 254       33       4708 dm-33
 254       34      21220 dm-34
 254       36       4320 dm-36
 254       37      22520 dm-37
 254       41       5296 dm-41
 254       44        536 dm-44
 254       45       7384 dm-45
 254       46       6456 dm-46
 254       47      29820 dm-47
 254       48      29876 dm-48
 254       49       7676 dm-49
 254       50       3488 dm-50
 254       53       5520 dm-53
 254       54      10104 dm-54
 254       57       1440 dm-57
 254       58       6120 dm-58
 254       59       3188 dm-59
 254       60      21416 dm-60
 254       61      29120 dm-61
 254       63      10816 dm-63
 254       64  114985044 dm-64
   7      400    1048576 loop50
